,PostalCode,Borough,Neighborhood
71,M6A,North York,"Lawrence Heights, Lawrence Heights, Lawrence Heights, Lawrence Manor, Lawrence Manor, Lawrence Manor"
72,M6B,North York,"Glencairn, Glencairn, Glencairn"
73,M6C,York,"Humewood-Cedarvale, Humewood-Cedarvale, Humewood-Cedarvale"
74,M6E,York,"Caledonia-Fairbanks, Caledonia-Fairbanks, Caledonia-Fairbanks"
75,M6G,Downtown Toronto,"Christie, Christie, Christie"
76,M6H,West Toronto,"Dovercourt Village, Dovercourt Village, Dovercourt Village, Dufferin, Dufferin, Dufferin"
77,M6J,West Toronto,"Little Portugal, Little Portugal, Little Portugal, Trinity, Trinity, Trinity"
78,M6K,West Toronto,"Brockton, Brockton, Brockton, Exhibition Place, Exhibition Place, Exhibition Place, Parkdale Village, Parkdale Village, Parkdale Village"
79,M6L,North York,"Maple Leaf Park, Maple Leaf Park, Maple Leaf Park, North Park, North Park, North Park, Upwood Park, Upwood Park, Upwood Park"
80,M6M,York,"Del Ray, Del Ray, Del Ray, Keelesdale, Keelesdale, Keelesdale, Mount Dennis, Mount Dennis, Mount Dennis, Silverthorn, Silverthorn, Silverthorn"
81,M6N,York,"The Junction North, The Junction North, The Junction North, Runnymede, Runnymede, Runnymede"
82,M6P,West Toronto,"High Park, High Park, High Park, The Junction South, The Junction South, The Junction South"
83,M6R,West Toronto,"Parkdale, Parkdale, Parkdale, Roncesvalles, Roncesvalles, Roncesvalles"
84,M6S,West Toronto,"Runnymede, Runnymede, Runnymede, Swansea, Swansea, Swansea"
85,M7A,Queen's Park,"Not assigned, Not assigned, Not assigned"
86,M7R,Mississauga,"Canada Post Gateway Processing Centre, Canada Post Gateway Processing Centre, Canada Post Gateway Processing Centre"
87,M7Y,East Toronto,"Business Reply Mail Processing Centre 969 Eastern, Business Reply Mail Processing Centre 969 Eastern, Business Reply Mail Processing Centre 969 Eastern"
88,M8V,Etobicoke,"Humber Bay Shores, Humber Bay Shores, Humber Bay Shores, Mimico South, Mimico South, Mimico South, New Toronto, New Toronto, New Toronto"
89,M8W,Etobicoke,"Alderwood, Alderwood, Alderwood, Long Branch, Long Branch, Long Branch"
90,M8X,Etobicoke,"The Kingsway, The Kingsway, The Kingsway, Montgomery Road, Montgomery Road, Montgomery Road, Old Mill North, Old Mill North, Old Mill North"
91,M8Y,Etobicoke,"Humber Bay, Humber Bay, Humber Bay, King's Mill Park, King's Mill Park, King's Mill Park, Kingsway Park South East, Kingsway Park South East, Kingsway Park South East, Mimico NE, Mimico NE, Mimico NE, Old Mill South, Old Mill South, Old Mill South, The Queensway East, The Queensway East, The Queensway East, Royal York South East, Royal York South East, Royal York South East, Sunnylea, Sunnylea, Sunnylea"
92,M8Z,Etobicoke,"Kingsway Park South West, Kingsway Park South West, Kingsway Park South West, Mimico NW, Mimico NW, Mimico NW, The Queensway West, The Queensway West, The Queensway West, Royal York South West, Royal York South West, Royal York South West, South of Bloor, South of Bloor, South of Bloor"
93,M9A,Etobicoke,"Islington Avenue, Islington Avenue, Islington Avenue"
94,M9B,Etobicoke,"Cloverdale, Cloverdale, Cloverdale, Islington, Islington, Islington, Martin Grove, Martin Grove, Martin Grove, Princess Gardens, Princess Gardens, Princess Gardens, West Deane Park, West Deane Park, West Deane Park"
95,M9C,Etobicoke,"Bloordale Gardens, Bloordale Gardens, Bloordale Gardens, Eringate, Eringate, Eringate, Markland Wood, Markland Wood, Markland Wood, Old Burnhamthorpe, Old Burnhamthorpe, Old Burnhamthorpe"
96,M9L,North York,"Humber Summit, Humber Summit, Humber Summit"
97,M9M,North York,"Emery, Emery, Emery, Humberlea, Humberlea, Humberlea"
98,M9N,York,"Weston, Weston, Weston"
99,M9P,Etobicoke,"Westmount, Westmount, Westmount"
100,M9R,Etobicoke,"Kingsview Village, Kingsview Village, Kingsview Village, Martin Grove Gardens, Martin Grove Gardens, Martin Grove Gardens, Richview Gardens, Richview Gardens, Richview Gardens, St. Phillips, St. Phillips, St. Phillips"
101,M9V,Etobicoke,"Albion Gardens, Albion Gardens, Albion Gardens, Beaumond Heights, Beaumond Heights, Beaumond Heights, Humbergate, Humbergate, Humbergate, Jamestown, Jamestown, Jamestown, Mount Olive, Mount Olive, Mount Olive, Silverstone, Silverstone, Silverstone, South Steeles, South Steeles, South Steeles, Thistletown, Thistletown, Thistletown"
102,M9W,Etobicoke,"Northwest, Northwest, Northwest"
